,state
3,Arkansas
6,Connecticut
13,Indiana
14,Iowa
15,Kansas
16,Kentucky
17,Louisiana
20,Massachusetts
22,Minnesota
24,Missouri
26,Nebraska
29,New Jersey
35,Oklahoma
37,Pennsylvania
38,Rhode Island
41,Tennessee
44,Vermont
48,Wisconsin
49,Wyoming
